taskId,taskName,User,Complexity Scale,Total Duration
92,Task1,D,3,3.75
93,Task2,A,13,1.97
94,Task2,B,16,4.16
95,Task2,C,17,4.48
96,Task1,D,4,4.26
97,Task2,A,45,8.5
98,Task1,B,3,1.53
99,Task1,C,5,3.66
100,Task2,D,23,6.63
101,Task1,A,6,3.99
102,Task2,B,18,4.84
103,Task2,C,28,8.54
104,Task2,D,29,7.45
105,Task2,A,39,10.4
106,Task2,B,16,4.76
107,Task2,C,61,15.54
108,Task2,D,51,8.48
109,Task1,A,6,7.75
110,Task2,B,17,4.01
111,Task2,C,23,6.48
112,Task2,D,20,10.12
113,Task1,A,10,5.5
114,Task2,B,18,3.75
115,Task1,C,21,17.06
116,Task2,D,22,3.09
117,Task2,A,33,6.97
118,Task2,B,30,6.51
119,Task1,C,3,2.6
120,Task1,D,14,9.23
121,Task2,A,23,6.59
122,Task2,B,99,13.59
123,Task2,C,28,3.01
124,Task1,D,6,2.79
125,Task2,A,99,25.49
126,Task2,B,6,2.12
127,Task2,C,54,16.93
128,Task2,D,29,10.25
129,Task2,A,15,4.73
130,Task1,B,5,3.55
131,Task1,C,3,2.74
132,Task2,D,20,6.93
133,Task2,A,6,1.84
134,Task2,B,15,12.74
135,Task2,C,21,10.54
136,Task2,D,41,11.03
137,Task2,A,41,11.95
138,Task1,B,12,3
139,Task1,C,46,16.13
140,Task1,D,24,7.14
141,Task2,A,19,5.92
142,Task1,B,2,1.9
143,Task2,C,11,7.81
144,Task1,D,3,1.16
145,Task2,A,17,4.83
146,Task1,B,3,3.03
147,Task2,C,46,11.48
148,Task2,D,100,5.32
149,Task2,A,7,1.7
150,Task2,B,17,6.01
151,Task1,C,6,6.15
152,Task2,D,34,8.53
153,Task1,A,23,5.26
154,Task2,B,16,4.39
155,Task1,C,17,9.17
156,Task2,D,22,7.03
157,Task2,A,18,6.14
158,Task2,B,15,2.7
159,Task2,C,21,9.75
160,Task1,D,4,10.44
161,Task1,A,3,2.5
162,Task2,B,76,19.91
163,Task2,C,35,7.27
164,Task2,D,46,12.84
165,Task2,A,40,22.07
166,Task2,B,25,7.89
167,Task2,C,20,7.19
168,Task2,D,82,27.73
169,Task1,A,14,5.39
170,Task2,B,28,6.23
171,Task2,C,17,4.28
172,Task2,D,29,8.47
173,Task2,A,56,13.13
174,Task2,B,40,9.88
175,Task2,C,33,11.07
176,Task2,D,25,3.91
177,Task1,A,3,2.98
178,Task2,B,52,7.48
179,Task2,C,44,6.85
180,Task2,D,17,3.32
181,Task2,A,48,15.31
182,Task2,B,42,9.69
183,Task2,C,26,11.03
184,Task2,D,25,6.65
185,Task1,A,2,1.18
186,Task1,B,6,4.13
187,Task2,C,38,11.07
188,Task1,D,13,5.53
189,Task1,A,3,2.26
190,Task2,B,36,6.74
191,Task2,C,57,11.79
192,Task2,D,27,7
193,Task2,A,43,7.59
194,Task1,B,8,3.79
195,Task2,C,18,3.42
196,Task2,D,35,10.65
197,Task2,A,21,7.38
198,Task2,B,28,3.59
199,Task2,C,27,6.51
200,Task2,D,49,15.26
201,Task2,A,40,7.06
202,Task2,B,32,7.55
203,Task2,C,38,5.74
204,Task1,D,4,3.1
205,Task2,A,63,13.04
206,Task2,B,13,7.27
207,Task2,C,40,15.58
208,Task2,D,40,10.39
209,Task2,A,43,8.86
210,Task1,B,7,6.7
211,Task2,C,14,3.5
212,Task2,D,14,7.89
213,Task2,A,52,12.16
214,Task1,B,7,5.18
215,Task1,C,18,4.28
216,Task2,D,57,11.49
217,Task1,A,9,3.04
218,Task1,B,16,10.97
219,Task2,C,60,13.98
220,Task2,D,37,5.9
221,Task1,A,18,9.86
222,Task1,B,7,4.36
223,Task2,C,14,3.75
224,Task1,D,17,10.72
225,Task2,A,33,7.17
226,Task2,B,19,5.62
227,Task1,C,2,1.25
228,Task2,D,17,3.87
229,Task1,A,4,4.07
230,Task2,B,65,11.59
231,Task2,C,17,10.93
232,Task1,D,24,11.62
233,Task2,A,64,13.72
234,Task2,B,65,13.37
235,Task2,C,18,4.55
236,Task2,D,20,6.32
237,Task2,A,25,4.41
238,Task2,B,37,10.38
239,Task1,C,8,3.14
240,Task1,D,10,3.91
241,Task2,A,22,7.82
242,Task2,B,7,8.2
243,Task1,C,6,4.68
244,Task1,D,41,13.29
245,Task2,A,47,4.19
246,Task2,B,70,8.96
247,Task2,C,69,19.86
248,Task2,D,22,7.76
249,Task2,A,50,11.28
250,Task1,B,13,8.85
251,Task2,C,22,3.99
252,Task1,D,5,4.68
253,Task2,A,83,15.66
254,Task1,B,15,9.7
255,Task2,C,14,4.73
256,Task2,D,37,9.01
257,Task2,A,20,10.11
258,Task2,B,13,2.95
259,Task1,C,4,2.76
260,Task1,D,9,8.69
261,Task2,A,23,6.25
262,Task1,B,3,1.76
263,Task2,C,37,7.39
264,Task2,D,27,5.11
265,Task1,A,12,6.3
266,Task2,B,41,11.7
267,Task2,C,82,16.33
268,Task2,D,30,6.11
269,Task1,A,4,3.33
270,Task1,B,6,6.94
271,Task1,C,32,10.02
272,Task2,D,20,4.36
273,Task2,A,36,11.66
274,Task1,B,4,1.75
275,Task2,C,19,8.04
276,Task1,D,14,5.89
277,Task2,A,44,11.25
278,Task1,B,7,4.45
279,Task2,C,65,11.83
280,Task2,D,17,9.91
281,Task2,A,54,12.12
282,Task1,B,4,3.88
283,Task1,C,6,3.74
284,Task2,D,44,7.39
285,Task2,A,16,3.17
286,Task2,B,41,11.27
287,Task2,C,38,12.45
288,Task2,D,7,1.77
289,Task2,A,20,3.38
290,Task2,B,60,11.95
291,Task2,C,26,7.58
292,Task2,D,50,9.31
293,Task1,A,4,2.78
294,Task2,B,45,9.05
295,Task2,C,45,9.25
296,Task2,D,97,12.53
297,Task2,A,31,7.37
298,Task1,B,8,4.79
299,Task2,C,38,8.89
300,Task2,D,30,6.84
301,Task2,A,12,2.4
302,Task2,B,48,11.47
303,Task1,C,21,11.52
304,Task1,D,26,8.35
305,Task1,A,12,4.36
306,Task2,B,34,12.13
307,Task1,C,12,4.07
308,Task1,D,21,11.08
309,Task1,A,2,0.8
310,Task2,B,66,2.53
311,Task2,C,81,17.89
312,Task2,D,17,5.28
313,Task2,A,35,8.64
314,Task1,B,13,12.77
315,Task1,C,17,3.48
316,Task2,D,25,7.31
317,Task2,A,22,3.65
318,Task1,B,8,3.1
319,Task2,C,49,12.32
320,Task2,D,19,2.48
321,Task2,A,23,7.89
322,Task1,B,3,1.62
323,Task2,C,33,8.92
324,Task1,D,16,12.17
325,Task2,A,54,10.01
326,Task2,B,37,6.88
327,Task1,C,14,6.33
328,Task2,D,16,2.89
329,Task2,A,13,3.64
330,Task2,B,38,9.53
331,Task1,C,7,4.29
332,Task1,D,9,5.1
333,Task2,A,36,12.45
334,Task1,B,6,5.04
335,Task1,C,4,8.74
336,Task1,D,2,1.51
337,Task1,A,32,18.03
338,Task2,B,28,9.81
339,Task1,C,10,6.93
340,Task2,D,45,11.34
341,Task2,A,45,7.85
342,Task2,B,33,7.83
343,Task1,C,14,8.33
344,Task2,D,40,12.03
345,Task2,A,76,15.9
346,Task1,B,4,2.51
347,Task2,C,21,4.43
348,Task2,D,49,13.15
349,Task2,A,29,4.33
350,Task1,B,10,6.29
351,Task2,C,18,4.42
352,Task1,D,6,2.65
353,Task2,A,24,4.59
354,Task2,B,26,7.85
355,Task2,C,66,17.57
356,Task1,D,15,9.14
357,Task1,A,2,0.62
358,Task2,B,30,4.18
359,Task2,C,25,8.95
360,Task2,D,70,10.54
361,Task2,A,85,21.82
362,Task1,B,11,9.42
363,Task1,C,25,10.18
364,Task2,D,40,7.78
365,Task2,A,27,5.69
366,Task2,B,22,4.44
367,Task2,C,40,16.91
368,Task1,D,3,6.53
369,Task2,A,30,13.47
370,Task1,B,3,3.27
371,Task2,C,66,15.35
372,Task1,D,6,3.57
373,Task2,A,65,13.86
374,Task2,B,64,13.69
375,Task2,C,34,9.08
376,Task1,D,20,8.61
377,Task2,A,47,11
378,Task2,B,44,11.33
379,Task2,C,67,13.92
380,Task2,D,17,5.28
381,Task2,A,24,4.69
382,Task1,B,6,6.13
383,Task1,C,5,1.9
384,Task1,D,10,4.04
385,Task2,A,53,9.44
386,Task2,B,25,8.78
387,Task1,C,5,3.49
388,Task1,D,22,15.14
389,Task2,A,59,10.68
390,Task2,B,10,2.19
391,Task1,C,3,3.1
392,Task1,D,2,1.79
393,Task1,A,4,6.45
394,Task2,B,37,8.38
395,Task1,C,10,7.23
396,Task2,D,80,15.61
397,Task2,A,22,5.06
398,Task2,B,13,6.23
399,Task2,C,13,4.41
400,Task2,D,44,11.71
401,Task1,A,6,1.65
402,Task2,B,33,9.83
403,Task2,C,36,7.08
404,Task1,D,17,4.61
405,Task1,A,9,1.75
406,Task2,B,39,13.44
407,Task1,C,16,9.92
408,Task2,D,21,4.35
409,Task2,A,33,13.59
410,Task2,B,58,12.74
411,Task2,C,33,6.67
412,Task2,D,43,10.68
413,Task2,A,69,13.57
414,Task2,B,58,11.7
415,Task1,C,6,8.56
416,Task2,D,19,4.02
417,Task2,A,12,5.24
418,Task2,B,16,3.85
419,Task2,C,41,6.75
420,Task1,D,8,6.01
421,Task1,A,8,3.55
422,Task2,B,26,5.31
423,Task1,C,13,4.7
424,Task2,D,54,12.65
425,Task1,A,17,3.62
426,Task1,B,7,5.77
427,Task1,C,8,6.21
428,Task2,D,29,5.72
429,Task2,A,56,12.13
430,Task2,B,22,7.73
431,Task2,C,25,5.22
432,Task1,D,12,3.45
433,Task2,A,12,3.12
434,Task1,B,7,6.63
435,Task2,C,35,8.62
436,Task2,D,61,17.38
437,Task2,A,31,8.9
438,Task1,B,6,2.43
439,Task2,C,71,18.28
440,Task2,D,48,9.2
441,Task1,A,25,6.38
442,Task2,B,77,16.62
443,Task2,C,21,5.94
444,Task2,D,36,11.41
445,Task2,A,51,10.19
446,Task2,B,22,4.47
447,Task2,C,19,6.18
448,Task1,D,27,13.44
449,Task2,A,30,5.8
450,Task1,B,12,6.97
451,Task2,C,36,6.63
452,Task2,D,56,11.94
453,Task2,A,58,21.12
454,Task1,B,4,2.13
455,Task1,C,4,2.36
456,Task2,D,62,12.94
457,Task2,A,43,8.81
458,Task1,B,4,2.03
459,Task1,C,4,2.93
460,Task2,D,26,8.31
461,Task1,A,4,1.65
462,Task1,B,31,9.83
463,Task2,C,28,6.29
464,Task1,D,20,11.03
465,Task2,A,19,5.71
466,Task2,B,80,16.75
467,Task2,C,21,4.61
468,Task2,D,12,4.14
469,Task1,A,4,4.72
470,Task2,B,24,5.38
471,Task1,C,30,16.8
472,Task2,D,43,10.93
473,Task2,A,34,10.39
474,Task1,B,18,7.29
475,Task2,C,45,9.88
476,Task1,D,6,6.51
477,Task2,A,36,13.21
478,Task2,B,19,5.49
479,Task2,C,36,9.59
480,Task2,D,36,11.23
481,Task2,A,70,14.03
482,Task2,B,12,3.56
483,Task2,C,41,14.46
484,Task2,D,47,8.78
485,Task2,A,61,11.8
486,Task1,B,4,6.68
487,Task2,C,44,8.63
488,Task2,D,33,4.57
489,Task1,A,8,3.65
490,Task2,B,18,3.47
491,Task2,C,55,13.77
492,Task2,D,24,5.72
493,Task2,A,24,9.01
494,Task2,B,26,7.56
495,Task1,C,10,2.99
496,Task2,D,26,9.6
497,Task2,A,11,3.65
498,Task2,B,93,20.52
499,Task1,C,5,3.98
500,Task2,D,60,16.7
501,Task2,A,29,10.5
502,Task2,B,14,6.52
503,Task2,C,58,10.79
504,Task2,D,45,11.1
505,Task2,A,33,10.21
506,Task2,B,61,13.15
507,Task2,C,18,3.7
508,Task2,D,19,4.43
509,Task2,A,36,8.4
510,Task2,B,58,17.14
511,Task2,C,9,1.45
512,Task2,D,23,8.69
513,Task2,A,37,8
514,Task2,B,22,6.63
515,Task1,C,6,4.17
516,Task1,D,13,3.85
517,Task2,A,19,6.04
518,Task2,B,10,5.99
519,Task2,C,46,10.64
520,Task2,D,25,7.86
521,Task2,A,15,3.2
522,Task2,B,24,7.71
523,Task2,C,14,12.03
524,Task1,D,6,5.22
525,Task2,A,45,8.92
526,Task2,B,86,23.41
527,Task2,C,17,3.93
528,Task2,D,23,7.82
529,Task2,A,23,10.84
530,Task2,B,40,12.7
531,Task1,C,4,4.69
532,Task1,D,20,8.02
533,Task1,A,6,5.12
534,Task2,B,46,12.65
535,Task1,C,4,2.59
536,Task1,D,12,4.67
537,Task1,A,7,8.6
538,Task2,B,67,16.87
539,Task2,C,32,7.71
540,Task2,D,46,10.25
541,Task2,A,13,5.89
542,Task2,B,33,7.2
543,Task2,C,65,11.53
544,Task2,D,49,9.85
545,Task2,A,23,4.25
546,Task2,B,39,8.64
547,Task2,C,61,7.03
548,Task2,D,55,12.8
549,Task2,A,21,25.27
550,Task2,B,33,16.91
551,Task2,C,36,18.44
552,Task2,D,33,7.93
553,Task2,A,57,15.99
554,Task2,B,9,1.42
555,Task2,C,37,6.39
556,Task1,D,6,3.84
557,Task2,A,80,14.57
558,Task2,B,69,14.46
559,Task2,C,82,21.75
560,Task2,D,36,12.3
561,Task2,A,32,8.21
562,Task2,B,16,8.32
563,Task1,C,2,1.81
564,Task2,D,28,7.54
565,Task2,A,37,12.07
566,Task1,B,4,3.82
567,Task2,C,58,17.64
568,Task2,D,21,5.42
569,Task2,A,12,4.29
570,Task2,B,43,18.18
571,Task1,C,13,6.91
572,Task2,D,43,12.16
573,Task1,A,5,5.04
574,Task2,B,44,7.77
575,Task2,C,55,9.91
576,Task2,D,27,7.31
577,Task2,A,20,5.75
578,Task2,B,32,6.37
579,Task1,C,12,5.15
580,Task1,D,1,1.54
581,Task1,A,6,2.43
582,Task1,B,7,2.94
583,Task2,C,31,6.87
584,Task1,D,7,7.79
585,Task2,A,31,10.95
586,Task1,B,22,13.12
587,Task2,C,36,8.59
588,Task2,D,27,5.1
589,Task2,A,32,9.75
590,Task2,B,43,9.47
591,Task2,C,60,10.19
592,Task1,D,1,2.17
593,Task2,A,15,6.01
594,Task1,B,6,2.23
595,Task2,C,49,11.13
596,Task2,D,40,7.49
597,Task2,A,36,5.64
598,Task1,B,5,11.28
599,Task2,C,20,4.46
600,Task2,D,48,16.69
601,Task2,A,9,2.59
602,Task2,B,38,16.91
603,Task1,C,11,6.7
604,Task1,D,2,3.71
605,Task2,A,19,5.65
606,Task2,B,40,13.91
607,Task1,C,13,8.14
608,Task2,D,14,3.39
609,Task2,A,40,9.32
610,Task2,B,23,5.71
611,Task2,C,13,2.28
612,Task1,D,11,9.83
613,Task2,A,33,11.62
614,Task2,B,32,6.35
615,Task2,C,16,6.62
616,Task2,D,37,8.36
617,Task2,A,24,8.27
618,Task2,B,33,11.2
619,Task1,C,4,2.53
620,Task1,D,9,16.28
621,Task2,A,75,16.14
622,Task2,B,38,8.56
623,Task1,C,6,2.67
624,Task1,D,8,3.55
625,Task2,A,51,15.07
626,Task2,B,24,10.08
627,Task2,C,35,18.86
628,Task2,D,28,9.14
629,Task2,A,11,3.37
630,Task2,B,43,12.69
631,Task1,C,19,5.24
632,Task2,D,33,8.97
633,Task2,A,34,13.19
634,Task1,B,7,2.27
635,Task2,C,9,3.7
636,Task2,D,23,6.01
637,Task2,A,24,5.52
638,Task2,B,32,6.83
639,Task2,C,38,7.81
640,Task2,D,25,10.33
641,Task2,A,9,1.23
642,Task2,B,44,13.31
643,Task2,C,54,19.91
644,Task2,D,20,10.55
645,Task1,A,11,8.52
646,Task2,B,34,5.88
647,Task2,C,45,11.92
648,Task2,D,55,13.71
649,Task2,A,46,9.48
650,Task1,B,7,4.24
651,Task2,C,22,7.2
652,Task2,D,6,1.81
653,Task2,A,40,10.51
654,Task2,B,48,10.35
655,Task2,C,75,22.76
656,Task2,D,41,10.92
657,Task2,A,23,5.07
658,Task2,B,31,6.31
659,Task1,C,7,4.25
660,Task1,D,11,10.86
661,Task1,A,3,2.51
662,Task2,B,54,16.88
663,Task1,C,2,2.46
664,Task2,D,29,9.05
665,Task2,A,16,4.9
666,Task2,B,12,4.81
667,Task2,C,24,10.05
668,Task2,D,67,11.09
669,Task2,A,28,10.75
670,Task2,B,87,18.82
671,Task2,C,34,7.03
672,Task1,D,13,8.53
673,Task2,A,23,4.86
674,Task2,B,22,6.91
675,Task1,C,15,4.8
676,Task2,D,103,15.86
677,Task2,A,42,12.7
678,Task1,B,12,4.29
679,Task2,C,23,7.2
680,Task2,D,11,2.41
681,Task2,A,41,8.32
682,Task2,B,52,11.9
683,Task2,C,15,11.07
684,Task1,D,6,6.06
685,Task2,A,32,10.35
686,Task2,B,92,16.16
687,Task2,C,40,8.07
688,Task1,D,5,2.85
689,Task2,A,59,19.35
690,Task2,B,25,4.15
691,Task2,C,46,14.68
692,Task2,D,15,6.75
693,Task2,A,34,11.97
694,Task2,B,43,10.24
695,Task2,C,34,6.7
696,Task2,D,47,5.53
697,Task2,A,33,10.94
698,Task1,B,3,3.33
699,Task2,C,16,7.97
700,Task1,D,12,5.54
701,Task1,A,14,4.68
702,Task2,B,25,3.84
703,Task2,C,18,3.71
704,Task1,D,2,2.89
705,Task2,A,21,8.72
706,Task2,B,15,5.61
707,Task2,C,20,4.93
708,Task1,D,2,1.1
709,Task2,A,77,17.5
710,Task2,B,7,2.09
711,Task1,C,10,8.87
712,Task2,D,47,7.1
713,Task1,A,4,2.53
714,Task2,B,16,1.6
715,Task2,C,99,22.91
716,Task2,D,59,11.8
717,Task1,A,9,19.92
718,Task1,B,10,6.77
719,Task2,C,36,8.6
720,Task1,D,7,3.77
721,Task2,A,25,6.38
722,Task2,B,32,10.34
723,Task2,C,33,11.1
724,Task2,D,42,8.85
725,Task2,A,17,5.5
726,Task2,B,66,6.91
727,Task2,C,45,13.52
728,Task1,D,7,4.12
729,Task1,A,6,0.76
730,Task2,B,31,8.24
731,Task2,C,37,9.49
732,Task1,D,10,4.72
733,Task2,A,31,8.3
734,Task2,B,26,8.47
735,Task1,C,10,5.27
736,Task1,D,2,5.36
737,Task1,A,20,4.19
738,Task1,B,4,4.28
739,Task2,C,61,13.26
740,Task2,D,20,4.37
741,Task1,A,4,3.29
742,Task1,B,5,3.92
743,Task2,C,31,7.83
744,Task1,D,10,7.54
745,Task1,A,3,2.07
746,Task1,B,8,2.46
747,Task2,C,14,6.97
748,Task1,D,11,6.59
749,Task2,A,47,7.41
750,Task2,B,34,6.01
751,Task2,C,83,18.19
752,Task2,D,4,5.29
753,Task2,A,104,22.9
754,Task2,B,43,18.41
755,Task2,C,40,17.28
756,Task2,D,49,10.15
757,Task2,A,56,11.49
758,Task1,B,38,18.17
759,Task1,C,10,6.12
760,Task2,D,35,5.94
761,Task2,A,24,7.96
762,Task2,B,10,5.26
763,Task1,C,3,3.07
764,Task2,D,32,6.35
765,Task2,A,50,16.55
766,Task2,B,32,12.87
767,Task1,C,14,8.89
768,Task2,D,25,7.39
769,Task2,A,55,15.7
770,Task2,B,38,8.73
771,Task2,C,44,8.59
772,Task2,D,74,13.61
773,Task2,A,27,7.94
774,Task2,B,49,8.61
775,Task2,C,21,4.48
776,Task2,D,84,17.73
777,Task2,A,20,8.6
778,Task2,B,16,5.47
779,Task1,C,58,11.82
780,Task2,D,39,14.84
781,Task1,A,8,4.18
782,Task2,B,44,12.42
783,Task2,C,38,6.25
784,Task2,D,22,10.45
785,Task2,A,47,8.9
786,Task2,B,45,8.08
787,Task1,C,19,7.9
788,Task2,D,18,2.58
789,Task2,A,23,10.8
790,Task2,B,59,19.59
791,Task2,C,19,7.03
792,Task1,D,5,2.51
793,Task2,A,69,15.9
794,Task1,B,2,3.88
795,Task2,C,25,9.55
796,Task1,D,5,5.74
797,Task2,A,26,10.43
798,Task2,B,114,30.53
799,Task2,C,49,10.91
800,Task2,D,29,9.62
801,Task2,A,62,17.61
802,Task2,B,13,5.15
803,Task2,C,24,8.65
804,Task2,D,29,8.84
805,Task2,A,28,8.67
806,Task1,B,12,6.48
807,Task2,C,32,7.22
808,Task2,D,72,26.91
809,Task2,A,78,24.81
810,Task1,B,7,5.07
811,Task2,C,25,7.95
812,Task1,D,3,3.87
813,Task2,A,21,3.62
814,Task1,B,10,10.04
815,Task1,C,7,4.02
816,Task1,D,4,3.55
817,Task2,A,22,5.82
818,Task2,B,34,9.42
819,Task2,C,36,19.49
820,Task2,D,21,5.22
821,Task2,A,47,9.54
822,Task1,B,6,5.22
823,Task2,C,20,12.45
824,Task1,D,6,3.6
825,Task2,A,32,7.43
826,Task2,B,20,3.53
827,Task2,C,57,13.31
828,Task1,D,3,1.76
829,Task2,A,17,4.09
830,Task2,B,35,8.42
831,Task2,C,19,10.5
832,Task1,D,5,2.71
833,Task2,A,35,6.39
834,Task2,B,91,13.07
835,Task1,C,3,3.46
836,Task2,D,38,11.22
837,Task2,A,30,6.93
838,Task2,B,13,3.91
839,Task2,C,21,9.69
840,Task2,D,18,7.91
841,Task1,A,3,2.92
842,Task2,B,14,3.99
843,Task2,C,22,4.99
844,Task2,D,22,12.77
845,Task1,A,8,6.01
846,Task1,B,3,1.72
847,Task2,C,24,10.05
848,Task2,D,20,6.42
849,Task2,A,42,11.66
850,Task2,B,23,5.87
851,Task2,C,40,9.98
852,Task2,D,33,14.51
853,Task1,A,12,9.98
854,Task1,B,5,6.64
855,Task2,C,31,6.7
856,Task2,D,38,5.98
857,Task2,A,9,2.65
858,Task1,B,4,1.95
859,Task2,C,41,6.38
860,Task2,D,23,5.17
861,Task2,A,22,4.68
862,Task2,B,12,4.78
863,Task2,C,16,2.84
864,Task1,D,6,4.49
865,Task2,A,33,5.45
866,Task2,B,17,7.64
867,Task2,C,20,6.78
868,Task2,D,23,12.58
869,Task2,A,13,5.27
870,Task1,B,10,7.68
871,Task1,C,2,1.8
872,Task2,D,62,9.84
873,Task2,A,67,12.68
874,Task2,B,31,10.71
875,Task1,C,8,7.72
876,Task2,D,28,8.03
877,Task2,A,36,6.24
878,Task2,B,13,3
879,Task2,C,34,10.04
880,Task2,D,37,11.31
881,Task2,A,19,6.74
882,Task1,B,37,19.35
883,Task1,C,15,7.8
884,Task1,D,3,3.3
885,Task2,A,27,11.77
886,Task1,B,9,6.86
887,Task2,C,29,7.96
888,Task2,D,54,10.71
889,Task1,A,8,8.05
890,Task1,B,3,2.84
891,Task1,C,6,3.65
892,Task2,D,18,6.8
893,Task1,A,2,4.42
894,Task2,B,25,7.72
895,Task2,C,40,8.49
896,Task2,D,32,5.61
897,Task2,A,24,4.83
898,Task1,B,10,4.23
899,Task2,C,18,5.05
900,Task2,D,25,4.87
901,Task1,A,29,14.06
902,Task2,B,20,5.39
903,Task1,C,12,8.6
904,Task2,D,13,4.51
905,Task1,A,3,1.56
906,Task2,B,39,9.58
907,Task2,C,20,6.11
908,Task1,D,3,1.84
909,Task2,A,15,10.06
910,Task2,B,21,7.87
911,Task2,C,38,10
912,Task2,D,18,10.39
913,Task2,A,34,11.85
914,Task1,B,8,7.3
915,Task2,C,24,7.84
916,Task2,D,29,6.47
917,Task2,A,21,8.44
918,Task2,B,35,20.17
919,Task2,C,12,4.7
920,Task2,D,13,3.6
921,Task1,A,8,6.51
922,Task1,B,4,1.52
923,Task2,C,41,11.09
924,Task2,D,18,5.93
925,Task1,A,6,3.45
926,Task2,B,12,10.7
927,Task2,C,55,12.54
928,Task2,D,14,7.3
929,Task2,A,22,4.18
930,Task2,B,33,9.28
931,Task2,C,25,9.81
932,Task2,D,58,15.06
933,Task1,A,6,3.96
934,Task1,B,11,4.65
935,Task2,C,55,9.32
936,Task2,D,41,16.19
937,Task2,A,10,3.72
938,Task2,B,41,18.95
939,Task2,C,52,8.44
940,Task2,D,55,20.93
941,Task1,A,6,3.89
942,Task2,B,27,6.39
943,Task2,C,9,3.79
944,Task1,D,4,2.81
945,Task2,A,31,4.73
946,Task2,B,68,14.43
947,Task2,C,40,12.15
948,Task2,D,59,17.31
949,Task2,A,30,10.69
950,Task2,B,33,6.18
951,Task1,C,10,11.27
952,Task2,D,25,9.63
953,Task2,A,19,6.93
954,Task1,B,2,1.32
955,Task1,C,19,10.1
956,Task2,D,26,6.58
957,Task2,A,40,9.88
958,Task2,B,19,3.85
959,Task1,C,10,6.29
960,Task2,D,37,9.03
961,Task1,A,5,2.43
962,Task2,B,27,17.37
963,Task2,C,16,7.58
964,Task2,D,64,17.77
965,Task2,A,28,9
966,Task2,B,18,5.63
967,Task2,C,26,8.79
968,Task2,D,19,6.83
969,Task2,A,22,10.96
970,Task2,B,30,11.46
971,Task2,C,35,7.13
972,Task2,D,26,3.88
973,Task2,A,44,9.29
974,Task1,B,9,6.83
975,Task2,C,32,6.76
976,Task1,D,11,6.09
977,Task2,A,46,13.17
978,Task2,B,33,6.21
979,Task2,C,9,4.12
980,Task2,D,39,12.22
981,Task2,A,13,3.41
982,Task2,B,14,8.62
983,Task2,C,30,5.78
984,Task2,D,49,9.77
985,Task2,A,60,21.27
986,Task1,B,4,3.63
987,Task2,C,36,7.4
988,Task1,D,10,6.14
989,Task1,A,4,4.82
990,Task2,B,61,18.68
991,Task1,C,12,4.44
992,Task2,D,26,10.58
993,Task2,A,25,3.41
994,Task1,B,38,15.94
995,Task2,C,37,12.38
996,Task1,D,4,3.13
997,Task1,A,17,7.64
